"dcra_code","tank_farm_id","uscg_id","aea_id","community_fips_code","entity_name","number_of_tanks","total_capacity","gasoline_capacity","diesel_capacity","av_gas_capacity","jet_fuel_capacity","other_fuel_capacity","barge_delivery","plane_delivery","road_delivery","inspected_by_uscg","fuel_supplier","recommendations_by_aea","distance_to_barge_mooring","tank_farm_evaluation_id","data_source","report","geometry"
B7CC301C-B675-40C9-80A7-82BA544A799E,,,,"0203000",Anchorage School District - Government Hill Elementary School,2,4500,,4500,,,,false,false,true,false,,,,,DEC,,POINT (-149.87060546875 61.2335205078125)
E2523660-1F61-490B-90E2-2359BED4159E,,,,"0203000",Anchorage School District - Goldenview Middle School,1,4000,,4000,,,,false,false,true,false,,,,,DEC,,POINT (-149.77801513671875 61.07867431640625)
"07C48A5D-A1EC-41E4-B6D9-D96CF8B72D43",,,"103-BF-01","0203000",ConocoPhillips Anchorage Office Complex,1,3000,,3000,,,,false,false,true,false,,,,,DEC,,POINT (-149.89630126953125 61.21527099609375)
"97124690-7D44-4102-AC45-8181A4D7ED0C",,,"105-BF-01","0203000",FedEx Express Corporation - ANCR,1,2688,,2688,,,,false,false,true,false,,,,,DEC,,POINT (-149.9984130859375 61.190673828125)
"206962E5-8311-4ACF-9E3E-9319F4032873",,,,"0203000",State of Alaska Department of Fish and Game - Anchorage,1,4000,,4000,,,,false,false,true,false,,,,,DEC,,POINT (-149.8297119140625 61.23028564453125)
"5A485B74-9E5B-4E4B-A8F6-5D955150F7D0",,,,"0203000",Alaska Railroad - Anchorage,2,76700,,76700,,,,false,false,true,false,,,,,DEC,,POINT (-149.88861083984375 61.22528076171875)
"5509D500-C9C2-4D19-B577-8386869D47DF",,,,"0203000",AK DOT&PF Anchorage Maintenance Station,1,10000,,10000,,,,false,false,true,false,,,,,DEC,,POINT (-149.84112548828125 61.18212890625)
E951B02D-CDE8-4D02-A808-236A1E749DDC,,,,"0203000",Alaska Airlines - Anchorage,2,10000,5000,5000,,,,false,false,true,false,,,,,DEC,,POINT (-149.98150634765625 61.17352294921875)
"5E60CFBE-1754-4A9C-8D68-F7EBF52CDB05",,,"104-BF-04","0203000",ENSTAR Natural Gas,1,1300,1300,,,,,false,false,true,false,,,,,DEC,,POINT (-149.87701416015625 61.17431640625)
ECE99F26-72D5-4DB9-84A6-747709CDD668,,,,"0203000",Anchorage Fueling and Service Company - Operations and Maintenance Base,6,21000,2000,3000,,16000,,true,false,false,false,,,,,DEC,,POINT (-150.03997802734375 61.17510986328125)
"06398E45-6B4F-42C3-8567-10AC4652B28F",,,,"0203000",Anchorage Fueling and Service Company - Off-Airport Fuel Facility,1,10000,,,,10000,,true,false,false,false,,,,,DEC,,POINT (-150.03997802734375 61.17510986328125)
"300C8047-CA46-431A-A995-1B787F79392B",,,,"0203000",Anchorage Fueling and Service Company - Airport Fuel Facility,2,4000,,2000,,2000,,true,false,false,false,,,,,DEC,,POINT (-150.03997802734375 61.17510986328125)
"5AD6E053-8701-48DC-81A9-5962E9731141",,,"112-BF-04","0203000",Ted Stevens Anchorage International Airport,9,32000,6000,26000,,,,false,false,true,false,,,,,DEC,,POINT (-149.98150634765625 61.17352294921875)
"64761B55-BBD0-4736-A66B-237FD41E4C18",,,"109-BF-01","0203000",NRC Alaska - Anchorage,1,10000,,10000,,,,false,false,true,false,,,,,DEC,,POINT (-149.84271240234375 61.223876953125)
"392D764D-71F7-45B2-BAE8-2F521955D788",,,"107-BF-01","0203000",Municipal Light and Power,3,227072,8000,219072,,,,false,false,true,false,,,,,DEC,,POINT (-149.85968017578125 61.22088623046875)
D1F05634-C359-4D56-976B-BAD0A2DA4669,,,"112-BF-03","0203000",Rain Proof Roofing - Anchorage Branch,2,3000,2000,1000,,,,false,false,true,false,,,,,DEC,,POINT (-149.8411865234375 61.1458740234375)
C51EFE45-833F-492D-9D41-79A332CA4263,,,,"0203000",Alaska Waste - Anchorage,2,10000,,10000,,,,false,false,true,false,,,,,DEC,,POINT (-149.860595703125 61.1636962890625)
"777BD506-2C38-4DFA-9680-7F5305C23F7B",,,"112-BF-05","0203000","Weaver Bros., Inc. Anchorage Terminal",1,6000,,6000,,,,false,false,true,false,,,,,DEC,,POINT (-161.030029296875 66.5001220703125)
ECE40BF8-AC76-495C-82E6-79FBF77BAE00,,,"104-BF-05","0203000",Environmental Compliance Consultants,4,12500,,10000,,2500,,false,false,true,false,,,,,DEC,,POINT (-149.85479736328125 61.22509765625)
"6C28B2E0-7583-4FB4-9B04-A8A26BA310F3",,,"112-BF-08","0203000",United Parcel Service - Anchorage Gateway,2,7000,5000,2000,,,,false,false,true,false,,,,,DEC,,POINT (-150.0006103515625 61.19451904296875)
B461A6E1-EF73-41C4-8195-F61F8C1B730F,,,"112-BF-06","0203000",Verizon Wireless,2,16000,,16000,,,,false,false,true,false,,,,,DEC,,POINT (-149.87139892578125 61.18511962890625)
"4CD13895-8EAB-4F3B-8C00-101747A4985E",,,,"0203000",Chugach Electric - Anchorage Headquarters,2,2700,,2700,,,,false,false,true,false,,,,,DEC,,POINT (-149.91058349609375 61.16888427734375)
"5ACBE17A-21DF-40B4-A9B4-B04B37C89D9A",,,,"0203000",Ravn Air - Anchorage,2,2000,1000,1000,,,,false,false,true,false,,,,,DEC,,POINT (-149.97100830078125 61.1727294921875)
FC655AD0-5508-4BE0-9D1F-1871442754F8,,,,"0203000",State of Alaska Department of Corrections - Anchorage Correctional Facility,2,17500,,17500,,,,false,false,true,false,,,,,DEC,,POINT (-149.8563232421875 61.21868896484375)
"76F94D91-B7A2-4F41-A8D4-BC17A1AECA17",,,,"0203000",Anchorage School District - East High School,1,10230,,10230,,,,false,false,true,false,,,,,DEC,,POINT (-149.805908203125 61.2000732421875)
CE6D73AC-0A81-486A-8D5A-376A624F516B,,,,"0203000",Anchorage School District - Dimond High School,1,8000,,8000,,,,false,false,true,false,,,,,DEC,,POINT (-149.93389892578125 61.1436767578125)
"2706137F-5ED4-447E-8C0E-35FB45086E7C",,,,"0203000",Anchorage School District - Clark Middle School,1,3550,,3550,,,,false,false,true,false,,,,,DEC,,POINT (-149.81048583984375 61.22271728515625)
F1657983-D3E3-44A8-96D8-91DFAD79BC5E,,,,"0203000",Anchorage School District - Begich Middle School,1,6000,,6000,,,,false,false,true,false,,,,,DEC,,POINT (-149.743408203125 61.20867919921875)
DA84F06B-802C-4550-9C22-FE03979714E2,,,"104-BF-03","0203000",Federal Aviation Administration - Anchorage - ASDE,1,1000,,1000,,,,false,false,true,false,,,,,DEC,,POINT (-149.9884033203125 61.164306640625)
"9C8FED26-AB7E-47BD-840A-3271CFB92E7B",,,"104-BF-02","0203000",Federal Aviation Administration - Anchorage - ASR-8,1,1000,,1000,,,,false,false,true,false,,,,,DEC,,POINT (-150.01629638671875 61.17828369140625)
"82786333-0523-4B2A-8D57-1D372E9D3F01",,,"104-BF-01","0203000",Federal Aviation Administration - Anchorage - ASR11,1,2000,,2000,,,,false,false,true,false,,,,,DEC,,POINT (-150.002685546875 61.09552001953125)
BE1BDB82-E648-4974-8944-E76427AD8699,,,"105-BF-03","0203000",GCI Communication Corp. - East OTN Anchorage,1,3000,,3000,,,,false,false,true,false,,,,,DEC,,POINT (-149.79388427734375 61.2100830078125)
"4516AC97-6819-43DF-95C5-E74912398039",,,,"0203000",GCI Communication Corp. - Anchorage SADC,2,10000,,10000,,,,false,false,true,false,,,,,DEC,,POINT (-149.890625 61.15869140625)
"35C756BA-6ABC-46AF-A1CE-7B04F0398B92",,,"105-BF-02","0203000",GCI Communication Corp. - Anchorage Cable Head End,2,2000,,2000,,,,false,false,true,false,,,,,DEC,,POINT (-149.88970947265625 61.1790771484375)
"5F01CBF4-73B2-4E31-817E-B6260B8849C6",,,"106-BF-05","0203000",Lowe's - Anchorage - Muldoon #2955,1,1500,,1500,,,,false,false,true,false,,,,,DEC,,POINT (-149.747802734375 61.22991943359375)
"797A3ACD-3784-4EEF-BE33-42B7DA4E9B69",,,"106-BF-01","0203000",Lowe's - Anchorage - Old Seward #1633,1,1500,,1500,,,,false,false,true,false,,,,,DEC,,POINT (-149.86810302734375 61.1217041015625)
B4417888-37CE-4EF6-A26A-55AF825A21AB,,,"106-BF-02","0203000",Lowe's - Anchorage - Tudor #289,1,2000,,2000,,,,false,false,true,false,,,,,DEC,,POINT (-149.8787841796875 61.1824951171875)
"63074EC4-7211-4F0E-AB39-1F4E107E73F9",,,,"0203000",Global Rides,2,24454,,,,24454,,false,false,true,false,,,,,DEC,,POINT (-149.98028564453125 61.16009521484375)
"2A532DB0-BADF-4AF5-A3AE-160DB76E6278",,,"102-BF-01","0203000",Anchorage US Courthouse,1,4000,,4000,,,,false,false,true,false,,,,,DEC,,POINT (-149.885009765625 61.215087890625)
A0289C80-A3E8-4499-84A1-64567897D7FF,,ANC-A-026,"109-BF-02","0203000",Petro 49 - Anchorage - Shoreside Petroleum,1,10000,,10000,,,,false,false,true,true,,,,,DEC,,POINT (-149.83331298828125 61.1624755859375)
"832D7857-2A62-4375-B073-5F9EE29F2B5A",,,,"0203000",North Park Fuels,8,140000,10000,10000,,120000,,false,false,true,false,,,,,DEC,,POINT (-149.99530029296875 61.19732666015625)
"75668C60-1872-4D4C-8044-F1DD5491AC2A",,,"106-BF-03","0203000",Lake and Peninsula Air,1,3000,,,,3000,,false,false,true,false,,,,,DEC,,POINT (-149.84918212890625 61.2169189453125)
"7413849C-F5C7-4FDF-A3E3-E95447A0C807",,,,"0203000",Municipality of Anchorage - Fire Station #1,1,1500,,1500,,,,false,false,true,false,,,,,DEC,,POINT (-149.8822021484375 61.21832275390625)
